,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
373,90.0%,0.4,NCAR,0.13241666666666668,0.12327234240614902
374,90.0%,0.4,NNAR,0.15321666666666667,0.10726334683717753
375,90.0%,0.45,NAR,0.19148333333333334,0.11469130106607861
376,90.0%,0.45,NCAR,0.17031666666666664,0.12876177437512223
377,90.0%,0.45,NNAR,0.19321666666666668,0.11508472765849467
378,90.0%,0.5,NAR,0.23346666666666666,0.08903330772838597
379,90.0%,0.5,NCAR,0.2296,0.152114827316916
380,90.0%,0.5,NNAR,0.24655000000000002,0.12352260368325164
381,90.0%,0.55,NAR,0.33316666666666656,0.11904876813895347
382,90.0%,0.55,NCAR,0.26614999999999994,0.16589278579646055
383,90.0%,0.55,NNAR,0.28029999999999994,0.09346017038437207
384,90.0%,0.6,NAR,0.41496666666666665,0.09025279949171634
385,90.0%,0.6,NCAR,0.33816666666666667,0.18187848033562246
386,90.0%,0.6,NNAR,0.3311166666666666,0.10805679248570563
387,90.0%,0.65,NAR,0.4991499999999999,0.06794383456335398
388,90.0%,0.65,NCAR,0.39308333333333334,0.1643392246152039
389,90.0%,0.65,NNAR,0.4417166666666666,0.07800140177048692
